,algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
0,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.0,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.43,0.0,0.0,0.8557,0.0,
1,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.1,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.5447,0.1667,0.0625,0.9,0.0909,
2,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.2,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.6282,0.375,0.1154,0.8614,0.1765,
3,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.3,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.6282,0.3333,0.1176,0.9055,0.1739,
4,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.4,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.5083,0.1,0.0588,0.8762,0.0741,
5,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.5,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.456,0.0,0.0,0.88,0.0,
6,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.6,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.4574,0.0,0.0,0.86,0.0,
7,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.7,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.5291,0.1538,0.1,0.8557,0.1212,
8,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.8,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.5191,0.1111,0.0667,0.8905,0.0833,
9,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,0.9,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.5312,0.1765,0.125,0.8259,0.1463,
10,LocalOutlierFactor,1_ALOI,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,0.1,1.0,True,MinMaxScaler(),False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler(sampling_strategy=0.3))])>",False,Zero,False,PCA,0.45,0.0,0.0,0.806,0.0,
