algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,precision_n_scores,exception
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9756,0.88,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.2,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9911,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.4,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9967,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.4,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9967,0.96,
GANomaly,21_Lymphography,AnomalyType.CLUSTER,NoiseType.NONE,0.4,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9967,0.96,
