algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,precision_n_scores,exception
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.0,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7874,0.52,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.1,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8056,0.68,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.2,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8077,0.68,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.3,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8035,0.64,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.4,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8077,0.64,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.5,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8091,0.68,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.6,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8084,0.68,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.7,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7025,0.56,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.8,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6996,0.56,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,0.9,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6968,0.56,
GANomaly,18_Ionosphere,AnomalyType.LOCAL,NoiseType.NONE,1.0,0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7004,0.56,
