algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9744,1.0,0.8621,0.9612,0.9259,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9679,1.0,0.8333,0.9515,0.9091,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9736,0.96,0.96,0.9806,0.96,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9808,1.0,0.8929,0.9709,0.9434,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9872,1.0,0.9259,0.9806,0.9615,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9744,1.0,0.8621,0.9612,0.9259,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9872,1.0,0.9259,0.9806,0.9615,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9479,0.96,0.8276,0.9417,0.8889,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9808,1.0,0.8929,0.9709,0.9434,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.LABEL_ERROR,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9872,1.0,0.9259,0.9806,0.9615,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.LABEL_ERROR,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.808,0.7241,0.7241,0.8447,0.7241,
IsolationForest,37_Stamps,AnomalyType.CLUSTER,NoiseType.LABEL_ERROR,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7523,0.6389,0.7188,0.7864,0.6765,
