algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9865,1.0,0.8929,0.9779,0.9434,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.98,0.96,1.0,0.9926,0.9796,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9775,1.0,0.8333,0.9632,0.9091,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0,0,0,0,0,Could not form valid cluster separation. Please change n_clusters or change clustering method
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.964,1.0,0.7576,0.9412,0.8621,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0,0,0,0,0,Could not form valid cluster separation. Please change n_clusters or change clustering method
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9685,1.0,0.7812,0.9485,0.8772,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.991,1.0,0.9259,0.9853,0.9615,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.991,1.0,0.9259,0.9853,0.9615,
ClusterBasedLocalOutlierFactor,4_breastw,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0,0,0,0,0,Could not form valid cluster separation. Please change n_clusters or change clustering method
