algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.5633,0.16,0.8,0.6,0.2667,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.58,0.16,1.0,0.6182,0.2759,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6,0.2,1.0,0.6364,0.3333,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6233,0.28,0.875,0.6545,0.4242,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6433,0.32,0.8889,0.6727,0.4706,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6667,0.4,0.8333,0.6909,0.5405,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.58,0.16,1.0,0.6182,0.2759,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6667,0.4,0.8333,0.6909,0.5405,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.58,0.16,1.0,0.6182,0.2759,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.58,0.16,1.0,0.6182,0.2759,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.LABEL_ERROR,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.62,0.24,1.0,0.6545,0.3871,
AngleBaseOutlierDetection,45_wine,AnomalyType.GLOBAL,NoiseType.LABEL_ERROR,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.58,0.16,1.0,0.6182,0.2759,
