algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8661,0.76,0.95,0.8852,0.8444,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8583,0.8,0.8696,0.8689,0.8333,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9106,0.96,0.8276,0.9016,0.8889,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8844,0.88,0.8462,0.8852,0.8627,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9322,0.92,0.92,0.9344,0.92,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8522,0.76,0.9048,0.8689,0.8261,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8706,0.88,0.8148,0.8689,0.8462,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8628,0.92,0.7667,0.8525,0.8364,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8133,0.96,0.6667,0.7869,0.7869,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8767,0.92,0.7931,0.8689,0.8519,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9044,0.92,0.8519,0.9016,0.8846,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8083,0.8519,0.7419,0.8033,0.7931,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6237,0.6667,0.6061,0.623,0.6349,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.6886,0.6897,0.6667,0.6885,0.678,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.5835,0.4483,0.5909,0.5902,0.5098,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.5167,0.0333,1.0,0.5246,0.0645,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.4995,0.0323,0.5,0.4918,0.0606,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.5,0.0,0.0,0.4262,0.0,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.4808,0.0,0.0,0.4098,0.0,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.LABEL_ERROR,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.5,0.0,0.0,0.4262,0.0,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8183,0.72,0.8571,0.8361,0.7826,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8489,0.92,0.7419,0.8361,0.8214,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8583,0.8,0.8696,0.8689,0.8333,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8983,0.88,0.88,0.9016,0.88,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8567,0.88,0.7857,0.8525,0.8302,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8644,0.84,0.84,0.8689,0.84,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9261,0.88,0.9565,0.9344,0.9167,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8289,0.88,0.7333,0.8197,0.8,
InneAnomalyDetector,21_Lymphography,AnomalyType.LOCAL,NoiseType.DUPLICATES,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8722,0.8,0.9091,0.8852,0.8511,
