algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9745,1.0,0.5208,0.9517,0.6849,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9724,1.0,0.5,0.9477,0.6667,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9345,0.88,0.8148,0.9833,0.8462,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8607,0.96,0.1805,0.7718,0.3038,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8923,0.8,0.7407,0.9749,0.7692,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9254,1.0,0.2688,0.8586,0.4237,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8978,0.8,0.9091,0.9854,0.8511,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9053,1.0,0.2252,0.8205,0.3676,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9667,1.0,0.4545,0.9368,0.625,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9682,1.0,0.463,0.9397,0.6329,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9127,0.92,0.3485,0.9062,0.5055,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8415,0.8,0.274,0.8787,0.4082,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8968,0.92,0.284,0.876,0.434,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9059,1.0,0.2252,0.8216,0.3676,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9121,1.0,0.2381,0.8333,0.3846,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8711,0.88,0.2619,0.8632,0.4037,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.9769,1.0,0.5435,0.9562,0.7042,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8844,0.92,0.2527,0.8526,0.3966,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8657,0.88,0.2472,0.8529,0.386,
HistogramBasedOutlierDetection,27_PageBlocks,AnomalyType.GLOBAL,NoiseType.DUPLICATES,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8753,0.88,0.2716,0.8711,0.4151,
