algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7624,0.68,0.3091,0.8296,0.425,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7943,0.96,0.2087,0.6593,0.3429,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7706,0.68,0.3333,0.8444,0.4474,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7592,1.0,0.1748,0.563,0.2976,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8478,0.92,0.2949,0.7889,0.4466,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8608,0.84,0.42,0.8778,0.56,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7873,0.84,0.2442,0.7444,0.3784,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8498,0.92,0.2987,0.7926,0.451,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.7739,0.76,0.2676,0.7852,0.3958,
HistogramBasedOutlierDetection,47_yeast,AnomalyType.LOCAL,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,0.8049,0.92,0.2323,0.7111,0.371,
